"PROV_NAME","Puerto","Año","Trasbordo","Local","Zona Libre"
"Bocas del Toro","Bocas Fruit Co. ","2017","0","16488","0"
"Bocas del Toro","Bocas Fruit Co. ","2018","0","22896","0"
"Bocas del Toro","Bocas Fruit Co. ","2019","0","58534","0"
"Bocas del Toro","Bocas Fruit Co. ","2020","12362","83400","0"
"Bocas del Toro","Bocas Fruit Co. ","2021","53958","63834","0"
"Bocas del Toro","Bocas Fruit Co. ","2022","11654","63834","0"
"Colón","Colon Container Terminal S.A.","2017","458638","96085","43261"
"Colón","Colon Container Terminal S.A.","2018","515001","103837","41760"
"Colón","Colon Container Terminal S.A.","2019","493829","114953","45038"
"Colón","Colon Container Terminal S.A.","2020","463144","85098","31957"
"Colón","Colon Container Terminal S.A.","2021","678425","99507","43541"
"Colón","Colon Container Terminal S.A.","2022","489890","59249","16550"
"Colón","Manzanillo International Terminal ","2017","1252713","303600","0"
"Colón","Manzanillo International Terminal ","2018","1538619","312169","0"
"Colón","Manzanillo International Terminal ","2019","1806891","283040","0"
"Colón","Manzanillo International Terminal ","2020","1962604","220610","0"
"Colón","Manzanillo International Terminal ","2021","2096872","258483","0"
"Colón","Manzanillo International Terminal ","2022","989725","140775","0"
"Panamá","Panama Ports Company - Balboa ","2017","2217680","244210","0"
"Panamá","Panama Ports Company - Balboa ","2018","1545958","229217","0"
"Panamá","Panama Ports Company - Balboa ","2019","1388747","211423","0"
"Panamá","Panama Ports Company - Balboa ","2020","1447993","152359","0"
"Panamá","Panama Ports Company - Balboa ","2021","1781727","182598","0"
"Panamá","Panama Ports Company - Balboa ","2022","814896","82409","0"
"Panamá","Panama Ports Company - Cristobal ","2017","1066039","34450","0"
"Panamá","Panama Ports Company - Cristobal ","2018","1054214","41987","0"
"Panamá","Panama Ports Company - Cristobal ","2019","850297","37525","0"
"Panamá","Panama Ports Company - Cristobal ","2020","865973","24698","0"
"Panamá","Panama Ports Company - Cristobal ","2021","847223","35346","0"
"Panamá","Panama Ports Company - Cristobal ","2022","332947","12308","0"
"Panamá Oeste","PSA Panama International Terminal ","2017","68843","3143","0"
"Panamá Oeste","PSA Panama International Terminal ","2018","396405","24087","0"
"Panamá Oeste","PSA Panama International Terminal ","2019","743058","36790","0"
"Panamá Oeste","PSA Panama International Terminal ","2020","982035","26753","0"
"Panamá Oeste","PSA Panama International Terminal ","2021","973147","47165","0"
"Panamá Oeste","PSA Panama International Terminal ","2022","459039","28279","0"
"Chiriquí","no data","2017","0","0","0"
"Chiriquí","no data","2018","0","0","0"
"Chiriquí","no data","2019","0","0","0"
"Chiriquí","no data","2020","0","0","0"
"Chiriquí","no data","2021","0","0","0"
"Chiriquí","no data","2022","0","0","0"
"Coclé","no data","2017","0","0","0"
"Coclé","no data","2018","0","0","0"
"Coclé","no data","2019","0","0","0"
"Coclé","no data","2020","0","0","0"
"Coclé","no data","2021","0","0","0"
"Coclé","no data","2022","0","0","0"
"Darién","no data","2017","0","0","0"
"Darién","no data","2018","0","0","0"
"Darién","no data","2019","0","0","0"
"Darién","no data","2020","0","0","0"
"Darién","no data","2021","0","0","0"
"Darién","no data","2022","0","0","0"
"Emberá","no data","2017","0","0","0"
"Emberá","no data","2018","0","0","0"
"Emberá","no data","2019","0","0","0"
"Emberá","no data","2020","0","0","0"
"Emberá","no data","2021","0","0","0"
"Emberá","no data","2022","0","0","0"
"Herrera","no data","2017","0","0","0"
"Herrera","no data","2018","0","0","0"
"Herrera","no data","2019","0","0","0"
"Herrera","no data","2020","0","0","0"
"Herrera","no data","2021","0","0","0"
"Herrera","no data","2022","0","0","0"
"Kuna Yala","no data","2017","0","0","0"
"Kuna Yala","no data","2018","0","0","0"
"Kuna Yala","no data","2019","0","0","0"
"Kuna Yala","no data","2020","0","0","0"
"Kuna Yala","no data","2021","0","0","0"
"Kuna Yala","no data","2022","0","0","0"
"Los Santos","no data","2017","0","0","0"
"Los Santos","no data","2018","0","0","0"
"Los Santos","no data","2019","0","0","0"
"Los Santos","no data","2020","0","0","0"
"Los Santos","no data","2021","0","0","0"
"Los Santos","no data","2022","0","0","0"
"Ngöbe Buglé","no data","2017","0","0","0"
"Ngöbe Buglé","no data","2018","0","0","0"
"Ngöbe Buglé","no data","2019","0","0","0"
"Ngöbe Buglé","no data","2020","0","0","0"
"Ngöbe Buglé","no data","2021","0","0","0"
"Ngöbe Buglé","no data","2022","0","0","0"
"Veraguas","no data","2017","0","0","0"
"Veraguas","no data","2018","0","0","0"
"Veraguas","no data","2019","0","0","0"
"Veraguas","no data","2020","0","0","0"
"Veraguas","no data","2021","0","0","0"
"Veraguas","no data","2022","0","0","0"
